angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,19.39122807,84.00198078
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,80.0172543
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,79.98563032
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,8.485643564,80.02430201
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,81.94164538
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,81.20441134
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,18.9139219,84.00198078
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,26.62416974,79.96987708
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,26.62416974,80.02070043
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,26.62416974,80.67346208
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,32.36730769,79.98430655
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,32.36730769,79.96833039
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,32.36730769,79.96656862
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,39.63240741,79.98430655
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,39.63240741,79.96833039
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,39.63240741,79.96656862
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.81828704,80.76649837
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.81828704,80.58833715
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.81828704,82.58222071
-0.030380466,0.384974349,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23
-0.01895348,0.086097266,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23
0.035054673,0.457490092,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23
0.013229642,0.625203474,1560,84,151.5081062,0.343121949,0.033159648,1,2,1627,19.39122807,23
0.04634907,0.811286808,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23
-0.029706029,0.87391228,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23
-0.040226082,1.13927123,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23
0.077785146,0.725438715,1969,133,157.51781,0.343121949,0.033159648,1,2,1695,19.39122807,23
-0.002838296,1.567527581,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23
-0.044781814,0.794959299,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23
-0.010549266,1.02857277,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23
-0.035028371,1.219988569,2400,158,159.6532409,0.343121949,0.033159648,1,2,1719,19.39122807,23
0.021749702,0.59787609,1560,84,157.104983,0.339560083,0.033258954,1,2,1690,19.39122807,23
-0.018004426,0.384935179,1560,84,157.104983,0.339560083,0.033258954,1,2,1690,19.39122807,23
-0.009129751,0.795077765,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23
-0.00891773,0.887018904,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23
-0.060441039,1.330728767,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23
0.032229903,0.47491686,1560,84,141.8254476,0.276009577,0.035030767,1,2,1518,19.39122807,23
0.003825924,0.954177459,1560,84,141.4738554,0.276009577,0.035030767,1,2,1514,19.39122807,23
-0.005499813,1.393140409,1969,140,150.3370049,0.276009577,0.035030767,1,2,1614,19.39122807,23
0.006930465,0.262702525,1560,84,156.849576,0.303946808,0.034251866,1,2,1687,19.39122807,23
-0.009840359,0.016129948,1560,84,156.849576,0.303946808,0.034251866,1,2,1687,19.39122807,23
0.011203053,0.337052311,1560,84,156.849576,0.303946808,0.034251866,1,2,1687,19.39122807,23
-0.011007423,1.039374882,1560,84,156.849576,0.303946808,0.034251866,1,2,1687,19.39122807,23
-0.002619525,0.214463062,1560,84,156.849576,0.303946808,0.034251866,1,2,1687,19.39122807,23
0.003818962,1.174873444,1969,133,160.2934774,0.303946808,0.034251866,1,2,1726,19.39122807,23
-0.054402622,0.447410227,1969,133,160.2934774,0.303946808,0.034251866,1,2,1726,19.39122807,23
-0.013497215,1.385533148,1969,133,160.9435668,0.303946808,0.034251866,1,2,1733,19.39122807,23
