angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT,av_engine_speeds_out_pos_pow,av_missing_powers_pos_pow,av_neg_motive_powers,av_pos_accelerations,av_pos_engine_powers_out,av_pos_motive_powers,av_vel_pos_mov_pow,co2_emission,max_power_required,specific_fuel_consumption,sufficient_power,time_percentage_neg_mov_pow,time_percentage_pos_mov_pow,willans_a,willans_b,willans_efficiency
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.62291667,77.97326708,1468.120174,0,-9.378946425,0.371479775,6.351710518,6.510574412,53.53934426,65.96242623,26.83455415,272.8335917,1,0.560185185,0.423611111,191.6127041,515.8915658,0.302634316
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.62291667,60.31976635,1491.764658,0,-10.41161144,0.371479775,5.068976637,6.121175923,50.63043478,40.72028361,23.15456746,292.9416706,1,0.717592593,0.266203704,189.4229875,524.7337865,0.281860915
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.62291667,82.49407624,1443.976004,0,-9.293140637,0.371479775,8.993456503,8.822213693,56.186121,108.3284392,30.78192452,252.4383519,1,0.333333333,0.650462963,196.0740968,506.9094765,0.327085036
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,41.18159722,80.25636914,1466.376842,0,-9.49050843,0.605892256,8.098492828,8.467471252,39.77092199,107.2526207,27.45524739,257.8529227,1,0.486111111,0.489583333,194.2310303,515.2414393,0.320216682
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,41.18159722,73.03491501,1501.551387,0,-11.11091787,0.605892256,6.627724798,6.927392521,40.09512195,74.85798603,23.49867162,271.1720979,1,0.548611111,0.427083333,191.4452919,528.4073294,0.304488581
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,41.18159722,81.77212033,1469.480955,0,-8.876669959,0.605892256,10.53972079,10.05253309,42.21122995,147.6789092,31.82341226,246.9542541,1,0.326388889,0.649305556,197.9587244,516.3992027,0.334348593
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.15958904,81.07191564,1674.928355,0,-9.733305972,0.512426901,8.528084411,9.207978041,48.403125,84.0630994,27.45524739,260.969128,1,0.561643836,0.438356164,191.2089027,594.9210902,0.316393008
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.15958904,75.74070034,1761.45376,0,-11.90512586,0.512426901,7.295713042,7.450844811,48.7037037,56.44471392,23.49867162,274.7694202,1,0.630136986,0.369863014,188.5222977,629.2342567,0.300502171
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,51.15958904,83.16228754,1645.315419,0,-8.793399707,0.512426901,11.0692007,10.54977253,51.58723404,123.5853738,31.82341226,247.7502568,1,0.356164384,0.643835616,195.0493372,583.357056,0.333274356
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,56.78898678,80.25636914,1500.865191,0,-7.770838789,0.372893628,5.669160489,6.111023764,65.20616114,63.96795176,27.45524739,283.2764907,1,0.471365639,0.464757709,190.1146379,528.1494951,0.291477797
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,56.78898678,73.03491501,1421.531471,0,-8.679819908,0.372893628,3.720675746,5.3746767,51.21025641,34.11996612,23.49867162,322.5662886,1,0.678414097,0.257709251,188.5580942,498.6010386,0.255974695
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,56.78898678,81.77212033,1514.579785,0,-8.616744372,0.372893628,9.896508716,9.563609446,66.18850932,111.6032085,31.82341226,249.8562828,1,0.226872247,0.709251101,195.9675522,533.3102919,0.330465204
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,71.23394161,82.0920933,1683.648653,0,-6.93777122,0.278606965,5.831585925,5.326301824,75.42080537,54.55239241,21.24910743,290.3862556,1,0.45620438,0.54379562,187.7823617,598.3434237,0.284341307
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,71.23394161,80.31083099,1660.621294,0,-7.765820219,0.278606965,3.209185729,4.375897356,59.37692308,25.08151071,17.16740571,368.6091697,1,0.762773723,0.237226277,184.9728547,589.3230412,0.224000959
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,71.23394161,85.51456095,1676.297154,0,-8.889997773,0.278606965,11.37335888,9.824918178,75.68391304,105.2916434,25.82165787,247.2372804,1,0.160583942,0.839416058,194.8817913,595.4577662,0.333965845
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,79.47422907,81.93133432,1734.683722,0,-6.567396241,0.191504004,5.454050361,4.818321051,82.28643411,49.33453202,15.49118103,300.14417,1,0.431718062,0.568281938,186.7363053,618.5322054,0.275097155
-0.045055608,0.407968162,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,79.47422907,80.65965741,1714.366384,0,-7.503801718,0.191504004,2.358562304,3.164082108,68.50520833,19.9923394,11.32533162,442.3258108,1,0.788546256,0.211453744,183.4978685,610.4618281,0.186669657
-0.003776514,1.178786236,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,79.47422907,84.6131416,1720.614716,0,-10.09587574,0.191504004,11.6273881,9.928166227,81.60073892,101.5704355,23.26407885,247.1310163,1,0.105726872,0.894273128,194.4159059,612.9390474,0.334109448
-0.028770481,1.376067436,1396,66,136.7153894,0.20167241,0.037103316,1,2,1461,92.56978193,80.05431542,2338.953485,0,-11.07481067,0.298841893,13.68153901,12.75192239,99.54028436,86.60904381,35.67436699,253.4664076,1,0.327102804,0.657320872,188.9343905,882.8973094,0.325758384
